ENSEMBL_gene,HGNC_symbol,HGNC_symbol_unique
ENSG00000226849,ENSG00000226849.1,ENSG00000226849.1-226849
ENSG00000230337,EXOSC10-AS1,EXOSC10-AS1-230337
ENSG00000225602,MTOR-AS1,MTOR-AS1-225602
ENSG00000238173,RPL39P6,RPL39P6-238173
ENSG00000284646,ENSG00000284646.1,ENSG00000284646.1-284646
ENSG00000224338,MTCYBP45,MTCYBP45-224338
ENSG00000285833,ENSG00000285833.1,ENSG00000285833.1-285833
ENSG00000235643,LINC01647,LINC01647-235643
ENSG00000284708,ENSG00000284708.1,ENSG00000284708.1-284708
ENSG00000177553,C1orf167-AS1,C1orf167-AS1-177553
ENSG00000276470,ENSG00000276470.1,ENSG00000276470.1-276470
ENSG00000278852,ENSG00000278852.1,ENSG00000278852.1-278852
ENSG00000275915,ENSG00000275915.1,ENSG00000275915.1-275915
ENSG00000285646,ENSG00000285646.2,ENSG00000285646.2-285646
ENSG00000287384,ENSG00000287384.1,ENSG00000287384.1-287384
ENSG00000270914,ENSG00000270914.1,ENSG00000270914.1-270914
ENSG00000202461,Y_RNA,Y_RNA-202461
ENSG00000227875,RPL23AP89,RPL23AP89-227875
ENSG00000285604,ENSG00000285604.1,ENSG00000285604.1-285604
ENSG00000225196,RPL10P17,RPL10P17-225196
ENSG00000229484,LINC02766,LINC02766-229484
ENSG00000288927,ENSG00000288927.2,ENSG00000288927.2-288927
ENSG00000272482,ENSG00000272482.2,ENSG00000272482.2-272482
ENSG00000226166,ENSG00000226166.2,ENSG00000226166.2-226166
ENSG00000228338,LINC01784,LINC01784-228338
ENSG00000290772,ENSG00000290772.1,ENSG00000290772.1-290772
ENSG00000233336,ENSG00000233336.1,ENSG00000233336.1-233336
ENSG00000228229,ENSG00000228229.2,ENSG00000228229.2-228229
ENSG00000259961,ENSG00000259961.1,ENSG00000259961.1-259961
ENSG00000222952,RNA5SP41,RNA5SP41-222952
ENSG00000237445,ENSG00000237445.2,ENSG00000237445.2-237445
ENSG00000253085,ENSG00000253085.1,ENSG00000253085.1-253085
ENSG00000289380,ENSG00000289380.1,ENSG00000289380.1-289380
ENSG00000231606,ENSG00000231606.2,ENSG00000231606.2-231606
ENSG00000234593,KAZN-AS1,KAZN-AS1-234593
ENSG00000287756,ENSG00000287756.1,ENSG00000287756.1-287756
ENSG00000175147,TMEM51-AS1,TMEM51-AS1-175147
ENSG00000204464,TMEM51-AS2,TMEM51-AS2-204464
ENSG00000233485,FHAD1-AS1,FHAD1-AS1-233485
ENSG00000236045,ENSG00000236045.1,ENSG00000236045.1-236045
ENSG00000228140,EFHD2-AS1,EFHD2-AS1-228140
ENSG00000272510,ENSG00000272510.1,ENSG00000272510.1-272510
ENSG00000237301,ENSG00000237301.1,ENSG00000237301.1-237301
ENSG00000271742,ENSG00000271742.1,ENSG00000271742.1-271742
ENSG00000237938,ENSG00000237938.5,ENSG00000237938.5-237938
ENSG00000224459,SLC25A34-AS1,SLC25A34-AS1-224459
ENSG00000224321,RPL12P14,RPL12P14-224321
ENSG00000178715,ENSG00000178715.8,ENSG00000178715.8-178715
ENSG00000179743,SPEN-AS1,SPEN-AS1-179743
ENSG00000270620,ENSG00000270620.1,ENSG00000270620.1-270620
ENSG00000234607,ENSG00000234607.2,ENSG00000234607.2-234607
ENSG00000231353,ENSG00000231353.1,ENSG00000231353.1-231353
ENSG00000275503,ENSG00000275503.1,ENSG00000275503.1-275503
ENSG00000233078,ENSG00000233078.1,ENSG00000233078.1-233078
ENSG00000227959,EPHA2-AS1,EPHA2-AS1-227959
ENSG00000224621,ENSG00000224621.1,ENSG00000224621.1-224621
ENSG00000234166,ARHGEF19-AS1,ARHGEF19-AS1-234166
ENSG00000291077,ENSG00000291077.1,ENSG00000291077.1-291077
ENSG00000288398,ENSG00000288398.1,ENSG00000288398.1-288398
ENSG00000226457,RPL22P3,RPL22P3-226457
ENSG00000226029,LINC01772,LINC01772-226029
ENSG00000261135,ENSG00000261135.1,ENSG00000261135.1-261135
ENSG00000285853,ENSG00000285853.1,ENSG00000285853.1-285853
ENSG00000224174,ENSG00000224174.2,ENSG00000224174.2-224174
ENSG00000233421,LINC01783,LINC01783-233421
ENSG00000271732,ENSG00000271732.1,ENSG00000271732.1-271732
ENSG00000283773,ENSG00000283773.1,ENSG00000283773.1-283773
ENSG00000282143,ENSG00000282143.1,ENSG00000282143.1-282143
ENSG00000280114,ENSG00000280114.1,ENSG00000280114.1-280114
ENSG00000290849,ENSG00000290849.1,ENSG00000290849.1-290849
ENSG00000279151,ENSG00000279151.1,ENSG00000279151.1-279151
ENSG00000282740,ENSG00000282740.1,ENSG00000282740.1-282740
ENSG00000290850,ENSG00000290850.1,ENSG00000290850.1-290850
ENSG00000290851,ENSG00000290851.1,ENSG00000290851.1-290851
ENSG00000223643,ENSG00000223643.6,ENSG00000223643.6-223643
ENSG00000228549,LINC03126,LINC03126-228549
ENSG00000238142,ENSG00000238142.4,ENSG00000238142.4-238142
ENSG00000235241,ENSG00000235241.1,ENSG00000235241.1-235241
ENSG00000272426,ENSG00000272426.1,ENSG00000272426.1-272426
ENSG00000290122,ENSG00000290122.1,ENSG00000290122.1-290122
ENSG00000286898,ENSG00000286898.1,ENSG00000286898.1-286898
ENSG00000226526,ENSG00000226526.1,ENSG00000226526.1-226526
ENSG00000288636,ENSG00000288636.1,ENSG00000288636.1-288636
ENSG00000117118,SDHB,SDHB-117118
ENSG00000204362,LINC02783,LINC02783-204362
ENSG00000282843,ENSG00000282843.1,ENSG00000282843.1-282843
ENSG00000227751,RCC2-AS1,RCC2-AS1-227751
ENSG00000290096,ENSG00000290096.1,ENSG00000290096.1-290096
ENSG00000236648,LINC02810,LINC02810-236648
ENSG00000284653,ENSG00000284653.1,ENSG00000284653.1-284653
ENSG00000261781,LINC01654,LINC01654-261781
ENSG00000280222,ENSG00000280222.1,ENSG00000280222.1-280222
ENSG00000230035,IGSF21-AS1,IGSF21-AS1-230035
ENSG00000225387,ENSG00000225387.1,ENSG00000225387.1-225387
ENSG00000225478,ENSG00000225478.2,ENSG00000225478.2-225478
ENSG00000272084,ENSG00000272084.1,ENSG00000272084.1-272084
ENSG00000230424,EMC1-AS1,EMC1-AS1-230424
ENSG00000053372,MRTO4,MRTO4-53372
ENSG00000286064,ENSG00000286064.1,ENSG00000286064.1-286064
ENSG00000270728,ENSG00000270728.1,ENSG00000270728.1-270728
ENSG00000173436,MICOS10,MICOS10-173436
ENSG00000235185,MICOS10-DT,MICOS10-DT-235185
ENSG00000226396,ENSG00000226396.1,ENSG00000226396.1-226396
ENSG00000235434,RNF186-AS1,RNF186-AS1-235434
ENSG00000227066,ENSG00000227066.2,ENSG00000227066.2-227066
ENSG00000228105,LINC01757,LINC01757-228105
ENSG00000284710,ENSG00000284710.1,ENSG00000284710.1-284710
ENSG00000226664,ENSG00000226664.1,ENSG00000226664.1-226664
ENSG00000236963,LINC01141,LINC01141-236963
ENSG00000226487,ENSG00000226487.1,ENSG00000226487.1-226487
ENSG00000284641,ENSG00000284641.1,ENSG00000284641.1-284641
ENSG00000284743,ENSG00000284743.1,ENSG00000284743.1-284743
ENSG00000289402,ENSG00000289402.2,ENSG00000289402.2-289402
ENSG00000215520,RPS4XP4,RPS4XP4-215520
ENSG00000117242,PINK1-AS,PINK1-AS-117242
ENSG00000235432,ENSG00000235432.1,ENSG00000235432.1-235432
ENSG00000233069,ENSG00000233069.1,ENSG00000233069.1-233069
ENSG00000233072,RPS15AP6,RPS15AP6-233072
ENSG00000236073,ENSG00000236073.2,ENSG00000236073.2-236073
ENSG00000287192,ENSG00000287192.1,ENSG00000287192.1-287192
ENSG00000236936,ENSG00000236936.1,ENSG00000236936.1-236936
ENSG00000231105,ECE1-AS1,ECE1-AS1-231105
ENSG00000236009,ENSG00000236009.1,ENSG00000236009.1-236009
ENSG00000289715,ENSG00000289715.1,ENSG00000289715.1-289715
ENSG00000233431,LINC02596,LINC02596-233431
ENSG00000231978,ENSG00000231978.2,ENSG00000231978.2-231978
ENSG00000232037,RPL21P29,RPL21P29-232037
ENSG00000283234,ENSG00000283234.1,ENSG00000283234.1-283234
ENSG00000285959,ENSG00000285959.1,ENSG00000285959.1-285959
ENSG00000228397,LINC01635,LINC01635-228397
ENSG00000218510,LINC00339,LINC00339-218510
ENSG00000289694,ENSG00000289694.1,ENSG00000289694.1-289694
ENSG00000285752,CDC42-AS1,CDC42-AS1-285752
ENSG00000285794,ENSG00000285794.1,ENSG00000285794.1-285794
ENSG00000230068,CDC42-IT1,CDC42-IT1-230068
ENSG00000285873,ENSG00000285873.1,ENSG00000285873.1-285873
ENSG00000279625,ENSG00000279625.1,ENSG00000279625.1-279625
ENSG00000237200,ZBTB40-IT1,ZBTB40-IT1-237200
ENSG00000289692,ENSG00000289692.1,ENSG00000289692.1-289692
ENSG00000225952,ENSG00000225952.1,ENSG00000225952.1-225952
ENSG00000240553,ENSG00000240553.1,ENSG00000240553.1-240553
ENSG00000266802,ENSG00000266802.1,ENSG00000266802.1-266802
ENSG00000229010,ENSG00000229010.1,ENSG00000229010.1-229010
ENSG00000289014,ENSG00000289014.1,ENSG00000289014.1-289014
ENSG00000215381,RPL29P6,RPL29P6-215381
ENSG00000261326,LINC01355,LINC01355-261326
ENSG00000284726,ENSG00000284726.1,ENSG00000284726.1-284726
ENSG00000249087,ZNF436-AS1,ZNF436-AS1-249087
ENSG00000201405,Y_RNA,Y_RNA-201405
ENSG00000271420,ENSG00000271420.1,ENSG00000271420.1-271420
ENSG00000232482,ENSG00000232482.2,ENSG00000232482.2-232482
ENSG00000235052,ENSG00000235052.1,ENSG00000235052.1-235052
ENSG00000285802,ENSG00000285802.1,ENSG00000285802.1-285802
ENSG00000197880,MDS2,MDS2-197880
ENSG00000142676,RPL11,RPL11-142676
ENSG00000236810,ELOA-AS1,ELOA-AS1-236810
ENSG00000289835,ENSG00000289835.1,ENSG00000289835.1-289835
ENSG00000232557,ENSG00000232557.3,ENSG00000232557.3-232557
ENSG00000215905,RPL36P5,RPL36P5-215905
ENSG00000225315,ENSG00000225315.2,ENSG00000225315.2-225315
ENSG00000230703,MYOM3-AS1,MYOM3-AS1-230703
ENSG00000230023,LINC02800,LINC02800-230023
ENSG00000232298,GRHL3-AS1,GRHL3-AS1-232298
ENSG00000288982,ENSG00000288982.1,ENSG00000288982.1-288982
ENSG00000286061,RCAN3AS,RCAN3AS-286061
ENSG00000264443,NCMAP-DT,NCMAP-DT-264443
ENSG00000227312,ENSG00000227312.2,ENSG00000227312.2-227312
ENSG00000239106,Y_RNA,Y_RNA-239106
ENSG00000284699,ENSG00000284699.1,ENSG00000284699.1-284699
ENSG00000229162,RUNX3-AS1,RUNX3-AS1-229162
ENSG00000261025,ENSG00000261025.1,ENSG00000261025.1-261025
ENSG00000285823,LINC02793,LINC02793-285823
ENSG00000233755,ENSG00000233755.1,ENSG00000233755.1-233755
ENSG00000231953,ENSG00000231953.2,ENSG00000231953.2-231953
ENSG00000284602,ENSG00000284602.1,ENSG00000284602.1-284602
ENSG00000284657,ENSG00000284657.1,ENSG00000284657.1-284657
ENSG00000272432,ENSG00000272432.1,ENSG00000272432.1-272432
ENSG00000261349,ENSG00000261349.1,ENSG00000261349.1-261349
ENSG00000259984,ENSG00000259984.1,ENSG00000259984.1-259984
ENSG00000238084,ENSG00000238084.4,ENSG00000238084.4-238084
ENSG00000225643,ENSG00000225643.1,ENSG00000225643.1-225643
ENSG00000233478,ENSG00000233478.1,ENSG00000233478.1-233478
ENSG00000255054,ENSG00000255054.3,ENSG00000255054.3-255054
ENSG00000228172,ENSG00000228172.5,ENSG00000228172.5-228172
ENSG00000272478,ENSG00000272478.1,ENSG00000272478.1-272478
ENSG00000236528,ENSG00000236528.3,ENSG00000236528.3-236528
ENSG00000207302,Y_RNA,Y_RNA-207302
ENSG00000223624,ENSG00000223624.1,ENSG00000223624.1-223624
ENSG00000252190,ENSG00000252190.1,ENSG00000252190.1-252190
ENSG00000252691,ENSG00000252691.1,ENSG00000252691.1-252691
ENSG00000284309,ENSG00000284309.1,ENSG00000284309.1-284309
ENSG00000278572,ENSG00000278572.1,ENSG00000278572.1-278572
ENSG00000270733,ENSG00000270733.1,ENSG00000270733.1-270733
ENSG00000225854,ENSG00000225854.2,ENSG00000225854.2-225854
ENSG00000223583,RPL17P9,RPL17P9-223583
ENSG00000225891,DHDDS-AS1,DHDDS-AS1-225891
ENSG00000252802,Y_RNA,Y_RNA-252802
ENSG00000289452,ENSG00000289452.1,ENSG00000289452.1-289452
ENSG00000229247,ENSG00000229247.2,ENSG00000229247.2-229247
ENSG00000238316,ENSG00000238316.1,ENSG00000238316.1-238316
ENSG00000235069,ENSG00000235069.2,ENSG00000235069.2-235069
ENSG00000260063,ENSG00000260063.1,ENSG00000260063.1-260063
ENSG00000290006,ENSG00000290006.1,ENSG00000290006.1-290006
ENSG00000287810,ENSG00000287810.1,ENSG00000287810.1-287810
ENSG00000226698,ENSG00000226698.1,ENSG00000226698.1-226698
ENSG00000289554,ENSG00000289554.1,ENSG00000289554.1-289554
ENSG00000172746,RPL12P13,RPL12P13-172746
ENSG00000224064,RPL32P6,RPL32P6-224064
ENSG00000229985,ENSG00000229985.2,ENSG00000229985.2-229985
ENSG00000224311,WDTC1-DT,WDTC1-DT-224311
ENSG00000252098,Y_RNA,Y_RNA-252098
ENSG00000243659,ENSG00000243659.1,ENSG00000243659.1-243659
ENSG00000231207,ENSG00000231207.1,ENSG00000231207.1-231207
ENSG00000241169,ENSG00000241169.1,ENSG00000241169.1-241169
ENSG00000237429,ENSG00000237429.1,ENSG00000237429.1-237429
ENSG00000235912,ENSG00000235912.1,ENSG00000235912.1-235912
ENSG00000233975,LINC02574,LINC02574-233975
ENSG00000225886,ENSG00000225886.3,ENSG00000225886.3-225886
ENSG00000287244,ENSG00000287244.1,ENSG00000287244.1-287244
ENSG00000231344,ENSG00000231344.1,ENSG00000231344.1-231344
ENSG00000269971,ENSG00000269971.1,ENSG00000269971.1-269971
ENSG00000270031,ENSG00000270031.1,ENSG00000270031.1-270031
ENSG00000286433,ENSG00000286433.1,ENSG00000286433.1-286433
ENSG00000227050,ENSG00000227050.1,ENSG00000227050.1-227050
ENSG00000238231,ENSG00000238231.2,ENSG00000238231.2-238231
ENSG00000228943,ENSG00000228943.1,ENSG00000228943.1-228943
ENSG00000289576,ENSG00000289576.2,ENSG00000289576.2-289576
ENSG00000290123,ENSG00000290123.1,ENSG00000290123.1-290123
ENSG00000130770,ATP5IF1,ATP5IF1-130770
